Date,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status
03/06/2000,49,V ugm-3,39,V ugm-3,114,V ugm-3
04/06/2000,21,V ugm-3,29,V ugm-3,61,V ugm-3
05/06/2000,18,V ugm-3,30,V ugm-3,57,V ugm-3
06/06/2000,44,V ugm-3,39,V ugm-3,106,V ugm-3
07/06/2000,41,V ugm-3,46,V ugm-3,108,V ugm-3
08/06/2000,24,V ugm-3,42,V ugm-3,78,V ugm-3
09/06/2000,47,V ugm-3,56,V ugm-3,127,V ugm-3
10/06/2000,41,V ugm-3,35,V ugm-3,98,V ugm-3
11/06/2000,15,V ugm-3,21,V ugm-3,44,V ugm-3
12/06/2000,29,V ugm-3,24,V ugm-3,68,V ugm-3
13/06/2000,47,V ugm-3,29,V ugm-3,100,V ugm-3
14/06/2000,45,V ugm-3,24,V ugm-3,92,V ugm-3
15/06/2000,48,V ugm-3,45,V ugm-3,118,V ugm-3
16/06/2000,27,V ugm-3,37,V ugm-3,79,V ugm-3
17/06/2000,26,V ugm-3,46,V ugm-3,86,V ugm-3
18/06/2000,9,V ugm-3,35,V ugm-3,49,V ugm-3
19/06/2000,27,V ugm-3,54,V ugm-3,95,V ugm-3
20/06/2000,43,V ugm-3,43,V ugm-3,108,V ugm-3
21/06/2000,31,V ugm-3,30,V ugm-3,77,V ugm-3
22/06/2000,33,V ugm-3,28,V ugm-3,78,V ugm-3
23/06/2000,51,V ugm-3,37,V ugm-3,115,V ugm-3
24/06/2000,41,V ugm-3,38,V ugm-3,101,V ugm-3
25/06/2000,12,V ugm-3,22,V ugm-3,40,V ugm-3
26/06/2000,31,V ugm-3,37,V ugm-3,85,V ugm-3
27/06/2000,39,V ugm-3,55,V ugm-3,114,V ugm-3
28/06/2000,22,V ugm-3,32,V ugm-3,64,V ugm-3
29/06/2000,21,V ugm-3,25,V ugm-3,57,V ugm-3
30/06/2000,30,V ugm-3,31,V ugm-3,76,V ugm-3
01/07/2000,47,V ugm-3,41,V ugm-3,112,V ugm-3
02/07/2000,19,V ugm-3,24,V ugm-3,54,V ugm-3
03/07/2000,36,V ugm-3,36,V ugm-3,94,V ugm-3
04/07/2000,19,V ugm-3,25,V ugm-3,54,V ugm-3
05/07/2000,27,V ugm-3,32,V ugm-3,72,V ugm-3
06/07/2000,57,V ugm-3,35,V ugm-3,122,V ugm-3
07/07/2000,24,V ugm-3,24,V ugm-3,60,V ugm-3
08/07/2000,47,V ugm-3,30,V ugm-3,102,V ugm-3
09/07/2000,26,V ugm-3,20,V ugm-3,60,V ugm-3
10/07/2000,48,V ugm-3,29,V ugm-3,105,V ugm-3
11/07/2000,47,V ugm-3,36,V ugm-3,107,V ugm-3
12/07/2000,63,V ugm-3,39,V ugm-3,136,V ugm-3
13/07/2000,56,V ugm-3,32,V ugm-3,118,V ugm-3
14/07/2000,67,V ugm-3,35,V ugm-3,138,V ugm-3
15/07/2000,30,V ugm-3,25,V ugm-3,71,V ugm-3
16/07/2000,14,V ugm-3,19,V ugm-3,40,V ugm-3
17/07/2000,34,V ugm-3,35,V ugm-3,87,V ugm-3
18/07/2000,22,V ugm-3,37,V ugm-3,71,V ugm-3
19/07/2000,57,V ugm-3,42,V ugm-3,128,V ugm-3
20/07/2000,36,V ugm-3,37,V ugm-3,91,V ugm-3
21/07/2000,19,V ugm-3,27,V ugm-3,55,V ugm-3
22/07/2000,11,V ugm-3,15,V ugm-3,31,V ugm-3
23/07/2000,5,V ugm-3,11,V ugm-3,18,V ugm-3
24/07/2000,15,V ugm-3,23,V ugm-3,46,V ugm-3
25/07/2000,35,V ugm-3,37,V ugm-3,91,V ugm-3
26/07/2000,50,V ugm-3,55,V ugm-3,132,V ugm-3
27/07/2000,51,V ugm-3,61,V ugm-3,142,V ugm-3
28/07/2000,58,V ugm-3,43,V ugm-3,131,V ugm-3
29/07/2000,50,V ugm-3,38,V ugm-3,114,V ugm-3
30/07/2000,20,V ugm-3,30,V ugm-3,60,V ugm-3
31/07/2000,40,V ugm-3,41,V ugm-3,101,V ugm-3
01/08/2000,43,V ugm-3,44,V ugm-3,108,V ugm-3
02/08/2000,35,V ugm-3,35,V ugm-3,88,V ugm-3
03/08/2000,47,V ugm-3,37,V ugm-3,108,V ugm-3
04/08/2000,54,V ugm-3,45,V ugm-3,126,V ugm-3
05/08/2000,54,V ugm-3,48,V ugm-3,130,V ugm-3
06/08/2000,17,V ugm-3,26,V ugm-3,52,V ugm-3
07/08/2000,50,V ugm-3,37,V ugm-3,112,V ugm-3
08/08/2000,54,V ugm-3,42,V ugm-3,128,V ugm-3
09/08/2000,47,V ugm-3,37,V ugm-3,108,V ugm-3
10/08/2000,42,V ugm-3,34,V ugm-3,98,V ugm-3
11/08/2000,47,V ugm-3,47,V ugm-3,119,V ugm-3
12/08/2000,30,V ugm-3,55,V ugm-3,101,V ugm-3
13/08/2000,20,V ugm-3,31,V ugm-3,60,V ugm-3
14/08/2000,25,V ugm-3,28,V ugm-3,67,V ugm-3
15/08/2000,39,V ugm-3,36,V ugm-3,95,V ugm-3
16/08/2000,40,V ugm-3,36,V ugm-3,97,V ugm-3
17/08/2000,41,V ugm-3,34,V ugm-3,95,V ugm-3
18/08/2000,44,V ugm-3,40,V ugm-3,108,V ugm-3
19/08/2000,30,V ugm-3,40,V ugm-3,86,V ugm-3
20/08/2000,8,V ugm-3,25,V ugm-3,36,V ugm-3
21/08/2000,43,V ugm-3,45,V ugm-3,114,V ugm-3
22/08/2000,32,V ugm-3,40,V ugm-3,89,V ugm-3
23/08/2000,12,V ugm-3,32,V ugm-3,50,V ugm-3
24/08/2000,31,V ugm-3,48,V ugm-3,96,V ugm-3
25/08/2000,15,V ugm-3,33,V ugm-3,55,V ugm-3
