Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Sulphur dioxide,Status,Sulphur dioxide,Status
07/02/1998,49,V ugm-3,11,V ugm-3,11,V ugm-3,28,V ugm-3,No data,,3,V ugm-3
08/02/1998,32,V ugm-3,4,V ugm-3,18,V ugm-3,25,V ugm-3,No data,,4,V ugm-3
09/02/1998,36,V ugm-3,3,V ugm-3,25,V ugm-3,29,V ugm-3,No data,,2,V ugm-3
10/02/1998,36,V ugm-3,1,V ugm-3,24,V ugm-3,26,V ugm-3,No data,,3,V ugm-3
11/02/1998,48,V ugm-3,2,V ugm-3,15,V ugm-3,19,V ugm-3,No data,,3,V ugm-3
12/02/1998,41,V ugm-3,1,V ugm-3,18,V ugm-3,20,V ugm-3,No data,,5,V ugm-3
13/02/1998,27,V ugm-3,15,V ugm-3,29,V ugm-3,52,V ugm-3,No data,,6,V ugm-3
14/02/1998,29,V ugm-3,6,V ugm-3,35,V ugm-3,45,V ugm-3,No data,,3,V ugm-3
15/02/1998,43,V ugm-3,1,V ugm-3,29,V ugm-3,31,V ugm-3,No data,,3,V ugm-3
16/02/1998,56,V ugm-3,1,V ugm-3,7,V ugm-3,9,V ugm-3,No data,,1,V ugm-3
17/02/1998,25,V ugm-3,18,V ugm-3,22,V ugm-3,50,V ugm-3,No data,,9,V ugm-3
18/02/1998,17,V ugm-3,18,V ugm-3,35,V ugm-3,62,V ugm-3,No data,,10,V ugm-3
19/02/1998,26,V ugm-3,2,V ugm-3,21,V ugm-3,24,V ugm-3,No data,,3,V ugm-3
20/02/1998,28,V ugm-3,2,V ugm-3,28,V ugm-3,32,V ugm-3,No data,,7,V ugm-3
21/02/1998,47,V ugm-3,3,V ugm-3,12,V ugm-3,16,V ugm-3,No data,,1,V ugm-3
22/02/1998,47,V ugm-3,4,V ugm-3,9,V ugm-3,15,V ugm-3,No data,,3,V ugm-3
23/02/1998,29,V ugm-3,1,V ugm-3,21,V ugm-3,23,V ugm-3,No data,,3,V ugm-3
24/02/1998,30,V ugm-3,3,V ugm-3,20,V ugm-3,24,V ugm-3,No data,,5,V ugm-3
25/02/1998,17,V ugm-3,15,V ugm-3,32,V ugm-3,55,V ugm-3,No data,,16,V ugm-3
26/02/1998,31,V ugm-3,9,V ugm-3,24,V ugm-3,38,V ugm-3,No data,,5,V ugm-3
27/02/1998,60,V ugm-3,7,V ugm-3,9,V ugm-3,19,V ugm-3,No data,,2,V ugm-3
28/02/1998,66,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,1,V ugm-3
01/03/1998,56,V ugm-3,2,V ugm-3,8,V ugm-3,11,V ugm-3,No data,,2,V ugm-3
02/03/1998,54,V ugm-3,1,V ugm-3,9,V ugm-3,11,V ugm-3,No data,,1,V ugm-3
03/03/1998,54,V ugm-3,2,V ugm-3,6,V ugm-3,9,V ugm-3,No data,,0,V ugm-3
04/03/1998,60,V ugm-3,1,V ugm-3,8,V ugm-3,9,V ugm-3,No data,,6,V ugm-3
05/03/1998,58,V ugm-3,1,V ugm-3,8,V ugm-3,9,V ugm-3,No data,,4,V ugm-3
06/03/1998,53,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,1,V ugm-3
07/03/1998,68,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,0,V ugm-3
08/03/1998,58,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,4,V ugm-3
09/03/1998,31,V ugm-3,5,V ugm-3,22,V ugm-3,30,V ugm-3,No data,,3,V ugm-3
10/03/1998,35,V ugm-3,3,V ugm-3,21,V ugm-3,25,V ugm-3,No data,,3,V ugm-3
11/03/1998,58,V ugm-3,2,V ugm-3,7,V ugm-3,10,V ugm-3,No data,,1,V ugm-3
